Image,Cell,Area,Perimeter,Major_diameter,Minor_diameter,Angle,Circularity,Aspect_ratio,Round,Solidity,Budded
1,1,6.291,9.453,3.035,2.64,34.61,0.885,1.15,0.87,0.964,FALSE
2,1,10.49,11.971,3.703,3.608,141.48,0.92,1.026,0.974,0.976,FALSE
3,1,5.226,8.588,2.818,2.361,143.708,0.89,1.193,0.838,0.965,FALSE
3,2,7.622,10.433,3.459,2.805,141.711,0.88,1.233,0.811,0.965,FALSE
4,1,5.644,8.848,2.737,2.625,28.098,0.906,1.043,0.959,0.961,FALSE
4,2,13.009,14.741,4.908,3.375,78.523,0.752,1.454,0.688,0.934,TRUE
5,1,13.849,13.876,4.56,3.867,65.074,0.904,1.179,0.848,0.977,FALSE
5,2,14.724,14.412,4.882,3.84,165.542,0.891,1.271,0.786,0.977,FALSE
5,3,7.034,10.011,3.036,2.95,132.408,0.882,1.029,0.971,0.961,FALSE
5,4,6.291,9.476,3.228,2.482,75.662,0.88,1.301,0.769,0.964,FALSE
6,1,9.899,11.619,3.692,3.413,55.857,0.921,1.082,0.924,0.975,FALSE
6,2,10.393,12.139,4.309,3.071,1.028,0.886,1.403,0.713,0.976,FALSE
7,1,7.664,10.325,3.434,2.841,78.447,0.903,1.209,0.827,0.97,FALSE
7,2,6.016,9.178,2.895,2.646,107.839,0.898,1.094,0.914,0.966,FALSE
8,1,8.991,11.197,3.766,3.04,110.345,0.901,1.239,0.807,0.974,FALSE
8,2,9.747,11.971,4.305,2.882,117.45,0.855,1.494,0.669,0.971,FALSE
8,3,9.13,12.982,3.606,3.223,93.497,0.681,1.119,0.894,0.936,FALSE
9,1,11.048,12.598,4.063,3.463,71.549,0.875,1.173,0.852,0.971,FALSE
10,1,5.619,8.848,2.988,2.394,71.045,0.902,1.248,0.801,0.967,FALSE
10,2,7.102,9.973,3.406,2.655,146.75,0.897,1.283,0.78,0.969,FALSE
10,3,13.815,13.961,4.545,3.871,151.837,0.891,1.174,0.852,0.975,FALSE
11,1,19.266,21.177,7.564,3.243,138.618,0.54,2.332,0.429,0.862,TRUE
12,1,13.444,13.74,4.592,3.728,50.094,0.895,1.232,0.812,0.974,FALSE
12,2,6.375,9.476,3.112,2.608,22.101,0.892,1.193,0.838,0.964,FALSE
12,3,7.436,10.348,3.639,2.601,1.222,0.873,1.399,0.715,0.967,FALSE
13,1,12.02,12.896,4.179,3.663,128.025,0.908,1.141,0.877,0.976,FALSE
13,2,10.752,12.285,4.071,3.363,124.29,0.895,1.21,0.826,0.973,FALSE
14,1,7.884,10.601,3.514,2.857,81.874,0.882,1.23,0.813,0.966,FALSE
14,2,8.936,11.343,3.974,2.863,89.399,0.873,1.388,0.72,0.97,FALSE
15,1,7.111,9.92,3.313,2.732,152.096,0.908,1.213,0.825,0.971,FALSE
16,1,7.82,10.401,3.402,2.927,87.785,0.908,1.162,0.86,0.971,FALSE
16,2,4.263,7.707,2.427,2.236,28.72,0.902,1.086,0.921,0.961,FALSE
16,3,11.534,12.744,4.12,3.564,21.388,0.892,1.156,0.865,0.969,FALSE
16,4,4.66,8.106,2.736,2.168,69.574,0.891,1.262,0.792,0.961,FALSE
17,1,9.303,11.511,4.04,2.932,3.635,0.882,1.378,0.726,0.973,FALSE
17,2,13.537,14.038,4.878,3.533,87.099,0.863,1.381,0.724,0.972,FALSE
18,1,11.538,12.76,4.255,3.452,134.496,0.891,1.233,0.811,0.971,FALSE
19,1,8.501,10.769,3.404,3.18,83.061,0.921,1.07,0.934,0.972,FALSE
19,2,8.023,10.547,3.344,3.054,94.358,0.906,1.095,0.913,0.968,FALSE
20,1,7.351,9.996,3.145,2.977,52.074,0.925,1.056,0.947,0.973,FALSE
21,1,9.075,11.143,3.587,3.221,129.627,0.918,1.113,0.898,0.975,FALSE
21,2,6.24,9.4,3.166,2.51,160.188,0.888,1.261,0.793,0.964,FALSE
21,3,12.556,13.394,4.623,3.459,142.001,0.88,1.337,0.748,0.975,FALSE
21,4,6.811,9.951,3.556,2.438,138.365,0.864,1.458,0.686,0.962,FALSE
22,1,11.023,12.399,4.072,3.446,71.516,0.901,1.182,0.846,0.975,FALSE
22,2,10.11,11.879,3.881,3.317,32.202,0.9,1.17,0.855,0.975,FALSE
22,3,8.251,10.823,3.628,2.896,154.593,0.885,1.253,0.798,0.97,FALSE
23,1,7.77,10.601,3.702,2.672,27.92,0.869,1.386,0.722,0.968,FALSE
24,1,7.613,10.271,3.303,2.935,93.641,0.907,1.125,0.889,0.969,FALSE
25,1,19.173,19.202,6.474,3.77,26.443,0.653,1.717,0.582,0.916,TRUE
26,1,8.678,11.273,3.716,2.973,159.083,0.858,1.25,0.8,0.96,FALSE
26,2,22.743,20.962,7.439,3.892,104.069,0.65,1.911,0.523,0.901,TRUE
27,1,7.985,10.455,3.206,3.171,64.141,0.918,1.011,0.989,0.972,FALSE
28,1,7.461,10.157,3.474,2.734,52.378,0.909,1.271,0.787,0.971,FALSE
28,2,11.411,12.583,4.111,3.534,32.974,0.906,1.163,0.86,0.976,FALSE
28,3,12.983,15.055,4.537,3.644,116.783,0.72,1.245,0.803,0.931,TRUE
29,1,4.745,8.052,2.639,2.289,111.592,0.92,1.153,0.867,0.964,FALSE
29,2,8.086,10.601,3.262,3.156,167.286,0.904,1.033,0.968,0.968,FALSE
29,3,6.384,9.53,3.322,2.447,116.393,0.883,1.357,0.737,0.967,FALSE
29,4,10.588,12.361,4.148,3.25,159.028,0.871,1.276,0.783,0.967,FALSE
29,5,9.941,12.852,4.027,3.143,111.363,0.756,1.281,0.78,0.936,FALSE
30,1,7.74,10.601,3.84,2.566,53.651,0.865,1.496,0.668,0.97,FALSE
30,2,7.36,10.341,3.295,2.844,111.176,0.865,1.159,0.863,0.965,FALSE
1,1,8.272,10.731,3.517,2.995,110.251,0.903,1.175,0.851,0.97,FALSE
1,2,9.776,11.834,4.187,2.973,43.721,0.877,1.408,0.71,0.971,FALSE
1,3,10.398,12.408,4.463,2.966,135.943,0.849,1.505,0.665,0.968,FALSE
1,4,18.45,19.931,6.899,3.405,136.802,0.584,2.026,0.493,0.885,TRUE
2,1,9.696,11.765,3.977,3.104,158.629,0.88,1.281,0.781,0.97,FALSE
2,2,8.471,11.061,3.795,2.842,143.524,0.87,1.335,0.749,0.967,FALSE
3,1,7.005,10.119,3.614,2.468,44.39,0.86,1.464,0.683,0.963,FALSE
3,2,12.658,14.082,4.405,3.659,78.603,0.802,1.204,0.831,0.948,FALSE
3,3,19.181,20.413,7.988,3.057,49.872,0.578,2.613,0.383,0.886,TRUE
3,4,13.173,18.016,7.208,2.327,169.875,0.51,3.097,0.323,0.876,TRUE
4,1,10.283,12.025,3.989,3.282,166.715,0.894,1.215,0.823,0.971,FALSE
4,2,10.643,12.3,4.207,3.221,53.357,0.884,1.306,0.766,0.971,FALSE
4,3,7.098,10.211,3.651,2.475,38.898,0.855,1.475,0.678,0.964,FALSE
4,4,12.514,13.784,4.476,3.56,78.189,0.828,1.257,0.795,0.958,TRUE
4,5,14.424,15.56,5.209,3.525,134.471,0.749,1.478,0.677,0.936,TRUE
4,6,6.827,11.289,3.589,2.422,45.54,0.673,1.482,0.675,0.905,TRUE
4,7,16.764,20.213,7.958,2.682,107.178,0.516,2.967,0.337,0.861,TRUE
5,1,11.352,12.468,3.922,3.685,39.05,0.918,1.064,0.939,0.977,FALSE
5,2,15.108,14.596,4.826,3.986,37.063,0.891,1.211,0.826,0.975,FALSE
5,3,11.788,12.896,4.305,3.487,81.32,0.891,1.235,0.81,0.973,FALSE
5,4,6.722,9.736,3.344,2.56,171.321,0.891,1.306,0.766,0.969,FALSE
5,5,6.768,10.011,3.597,2.396,67.297,0.849,1.502,0.666,0.965,FALSE
5,6,13.325,14.481,4.75,3.572,86.262,0.798,1.33,0.752,0.943,TRUE
5,7,28.096,24.934,9.506,3.763,11.794,0.568,2.526,0.396,0.878,TRUE
6,1,12.235,12.988,4.166,3.739,45.015,0.911,1.114,0.897,0.976,FALSE
6,2,8.893,11.558,4.29,2.64,41.571,0.837,1.625,0.615,0.964,FALSE
6,3,16.566,18.315,6.266,3.366,11.367,0.621,1.862,0.537,0.886,TRUE
7,1,7.871,10.655,3.799,2.638,127.184,0.871,1.44,0.694,0.968,FALSE
7,2,12.218,13.724,5.053,3.079,61.023,0.815,1.641,0.609,0.97,FALSE
8,1,7.905,10.455,3.286,3.063,99.104,0.909,1.073,0.932,0.969,FALSE
8,2,13.085,13.594,4.494,3.707,171.975,0.89,1.212,0.825,0.973,FALSE
8,3,16.177,15.246,5.285,3.897,92.995,0.875,1.356,0.737,0.975,FALSE
8,4,9.772,12.107,4.529,2.747,4.711,0.838,1.649,0.606,0.973,FALSE
8,5,12.582,16.073,5.567,2.877,145.801,0.612,1.935,0.517,0.888,TRUE
8,6,9.713,14.158,4.746,2.606,133.211,0.609,1.822,0.549,0.88,TRUE
8,7,17.331,19.402,7.173,3.076,144.395,0.579,2.332,0.429,0.899,TRUE
9,1,5.412,8.642,2.78,2.479,160.453,0.911,1.121,0.892,0.963,FALSE
9,2,10.824,12.338,4.102,3.36,12.358,0.893,1.221,0.819,0.971,FALSE
9,3,8.796,11.137,3.764,2.975,154.503,0.891,1.265,0.79,0.971,FALSE
9,4,10.71,12.307,4.233,3.222,175.556,0.889,1.314,0.761,0.973,FALSE
9,5,13.477,13.86,4.692,3.657,81.581,0.882,1.283,0.78,0.972,FALSE
9,6,7.694,10.608,3.873,2.529,0.988,0.859,1.531,0.653,0.971,FALSE
9,7,9.117,11.948,4.192,2.769,14.559,0.803,1.514,0.661,0.957,FALSE
9,8,11.69,13.638,4.382,3.397,83.297,0.79,1.29,0.775,0.946,FALSE
10,1,9.582,11.451,3.717,3.282,128.499,0.918,1.133,0.883,0.975,FALSE
10,2,13.465,13.914,4.806,3.567,17.799,0.874,1.347,0.742,0.976,FALSE
10,3,10.224,12.246,4.408,2.953,166.139,0.857,1.493,0.67,0.971,FALSE
10,4,12.941,14.107,5.306,3.105,123.1,0.817,1.709,0.585,0.972,FALSE
10,5,8.403,11.52,4.22,2.535,124.281,0.796,1.664,0.601,0.95,FALSE
10,6,7.491,11.029,4.242,2.248,147.763,0.774,1.887,0.53,0.96,FALSE
10,7,17.445,18.324,5.518,4.025,78.523,0.653,1.371,0.729,0.87,TRUE
11,1,6.553,9.53,3.057,2.729,58.469,0.907,1.12,0.893,0.965,FALSE
11,2,14.69,14.481,4.869,3.842,9.915,0.88,1.267,0.789,0.973,FALSE
11,3,13.047,13.715,4.627,3.59,174.909,0.872,1.289,0.776,0.973,FALSE
11,4,11.445,13.058,4.188,3.479,14.824,0.843,1.204,0.831,0.959,FALSE
11,5,9.447,11.879,4.35,2.765,116.938,0.841,1.573,0.636,0.97,FALSE
11,6,5.936,9.415,3.353,2.254,77.044,0.841,1.487,0.672,0.958,FALSE
12,1,11.504,12.659,4.217,3.474,176.631,0.902,1.214,0.824,0.977,FALSE
12,2,9.912,12.088,4.294,2.939,129.119,0.852,1.461,0.684,0.966,FALSE
12,3,12.97,13.854,4.866,3.394,73.079,0.849,1.434,0.698,0.973,FALSE
12,4,9.764,12.484,4.619,2.692,16.667,0.787,1.716,0.583,0.968,FALSE
13,1,10.807,12.285,3.933,3.498,110.49,0.9,1.124,0.889,0.972,FALSE
13,2,7.377,10.249,3.51,2.676,88.744,0.882,1.311,0.763,0.967,FALSE
13,3,12.278,13.286,4.382,3.568,31.118,0.874,1.228,0.814,0.97,FALSE
13,4,11.64,14.434,5.185,2.858,109.647,0.702,1.814,0.551,0.932,TRUE
13,5,11.61,14.871,5.092,2.903,106.917,0.66,1.754,0.57,0.912,TRUE
13,6,17.162,20.236,8.009,2.728,163.797,0.527,2.936,0.341,0.868,TRUE
